supplier_id,supplier_name,country,region,supplier_rating,established_date
SUP001,LIDARTECH,JAPAN,APAC,A,2010-01-01
SUP002,SENSOMAX,GERMANY,EUROPE,A,2008-03-15
SUP003,OPTIVISION,TAIWAN,APAC,B,2012-06-20
SUP004,TECHCORE,TAIWAN,APAC,A,2009-02-28
SUP005,ROBOCONTROL,GERMANY,EUROPE,A,2007-11-30
SUP006,PROCESSORPRO,USA,AMERICAS,A,2005-08-15
SUP007,MOTIONTECH,CHINA,APAC,B,2011-04-22
SUP008,DRIVESYSTEM,JAPAN,APAC,A,2009-07-11
SUP009,SERVOMAX,CHINA,APAC,B,2013-09-30
SUP010,POWERCELL,CHINA,APAC,B,2010-12-25
SUP011,ENERGYTECH,SOUTH KOREA,APAC,A,2008-06-18
SUP012,METALTECH,CHINA,APAC,B,2007-03-14
SUP013,JOINTFLEX,TAIWAN,APAC,A,2011-11-07
SUP014,THERMALTECH,USA,AMERICAS,A,2006-05-29
SUP015,CLEARSIGHT,SOUTH KOREA,APAC,A,2010-09-03
