supplier_id,part_id,is_primary_supplier,unit_cost,lead_time_days,minimum_order_qty
SUP001,LID001,True,2500.0,45,10
SUP002,LID001,False,2800.0,50,15
SUP001,LID002,True,3500.0,45,8
SUP002,LID002,False,3800.0,50,10
SUP003,CAM001,True,800.0,30,20
SUP015,CAM001,False,850.0,35,25
SUP003,CAM002,True,1200.0,35,15
SUP015,CAM002,False,1300.0,40,20
SUP014,INF001,True,600.0,25,30
SUP004,GPU001,True,1200.0,60,5
SUP006,GPU001,False,1300.0,55,5
SUP004,GPU002,True,2200.0,65,5
SUP006,GPU002,False,2400.0,60,5
SUP005,CTR001,True,1500.0,45,5
SUP006,CTR001,False,1600.0,50,5
SUP005,CTR002,True,2500.0,50,5
SUP007,MOT001,True,800.0,40,15
SUP008,MOT001,False,850.0,45,15
SUP009,MOT002,True,400.0,30,25
SUP010,BAT001,True,1000.0,35,10
SUP011,BAT001,False,1100.0,40,10
SUP010,BAT002,True,1500.0,40,8
SUP012,CHS001,True,600.0,50,5
SUP013,JNT001,True,300.0,30,20
