supplier_id,risk_category,risk_score,assessment_date,comments
SUP001,GEOPOLITICAL,0.3,2024-02-01,"STABLE REGION, LOW RISK"
SUP002,FINANCIAL,0.2,2024-02-01,STRONG FINANCIAL POSITION
SUP003,GEOPOLITICAL,0.7,2024-02-01,TAIWAN STRAIT TENSIONS
SUP004,GEOPOLITICAL,0.7,2024-02-01,TAIWAN STRAIT TENSIONS
SUP005,OPERATIONAL,0.4,2024-02-01,MINOR QUALITY ISSUES REPORTED
SUP006,FINANCIAL,0.3,2024-02-01,STABLE FINANCIAL OUTLOOK
SUP007,GEOPOLITICAL,0.8,2024-02-01,CHINA TRADE RESTRICTIONS RISK
SUP008,OPERATIONAL,0.3,2024-02-01,GOOD OPERATIONAL HISTORY
SUP009,GEOPOLITICAL,0.8,2024-02-01,CHINA TRADE RESTRICTIONS RISK
SUP010,GEOPOLITICAL,0.8,2024-02-01,CHINA TRADE RESTRICTIONS RISK
SUP011,OPERATIONAL,0.4,2024-02-01,RECENT MINOR DELIVERY DELAYS
SUP012,GEOPOLITICAL,0.8,2024-02-01,CHINA TRADE RESTRICTIONS RISK
SUP013,GEOPOLITICAL,0.7,2024-02-01,TAIWAN STRAIT TENSIONS
SUP014,OPERATIONAL,0.2,2024-02-01,EXCELLENT OPERATIONAL HISTORY
SUP015,OPERATIONAL,0.3,2024-02-01,GOOD QUALITY CONTROL
